year,region,rayon,dem,prorus
2002,Серединний пояс,Поліський  район,0.0653,0.6670
2002,Серединний пояс,Петрівський район,0.0932,0.5346
2002,Серединний пояс,Голованівський район,0.0950,0.4497
2002,Серединний пояс,Олександрійський район,0.1038,0.4998
2002,Серединний пояс,Добровеличківський район,0.1039,0.4330
2002,Серединний пояс,м. Коростень,0.1124,0.5190
2002,Серединний пояс,Вільшанський район,0.1233,0.3857
2002,Серединний пояс,Кіровоградський район,0.1301,0.4905
2002,Серединний пояс,Народицький район,0.1377,0.4280
2002,Серединний пояс,Ульянівський район,0.1454,0.3090
2002,Серединний пояс,Маловисківський район,0.1470,0.4803
2002,Серединний пояс,Коростенський район,0.1475,0.5093
2002,Серединний пояс,м. Знамянка,0.1604,0.5618
2002,Серединний пояс,м. Комсомольськ,0.1646,0.3940
2002,Серединний пояс,Семенівський район,0.1708,0.2436
2002,Серединний пояс,Гребінківський район,0.1766,0.3345
2002,Серединний пояс,Брусилівський район,0.1768,0.3069
2002,Серединний пояс,Новоукраїнський район,0.1820,0.4440
2002,Серединний пояс,Знам'янський район,0.1833,0.5217
2002,Серединний пояс,Овруцький район,0.1843,0.5255
2002,Серединний пояс,Володарсько-Волинський район,0.1853,0.3487
2002,Серединний пояс,Компаніївський район,0.1910,0.4888
2002,Серединний пояс,Новоархангельський район,0.1921,0.2753
2002,Серединний пояс,Черняхівський район,0.1963,0.3552
2002,Серединний пояс,м. Олександрія,0.2020,0.4504
2002,Серединний пояс,Гайворонський район,0.2034,0.4605
2002,Серединний пояс,Новгородківський район,0.2085,0.4440
2002,Серединний пояс,м. Новоград-Волинський,0.2115,0.4956
2002,Серединний пояс,Червоноармійський район,0.2174,0.4120
2002,Серединний пояс,Миргородський район,0.2182,0.2323
2002,Серединний пояс,Олевський район,0.2182,0.5104
2002,Серединний пояс,Чорнухівський район,0.2192,0.1874
2002,Серединний пояс,Могилів-Подільський район,0.2209,0.2437
2002,Серединний пояс,Драбівський район,0.2277,0.2139
2002,Серединний пояс,Лугинський район,0.2280,0.4294
2002,Серединний пояс,Долинський район,0.2320,0.4338
2002,Серединний пояс,Онуфріївський район,0.2356,0.3638
2002,Серединний пояс,Глобинський район,0.2373,0.2372
2002,Серединний пояс,Тетіївський район,0.2404,0.2770
2002,Серединний пояс,Чутівський район,0.2411,0.4227
2002,Серединний пояс,Козельщинський район,0.2420,0.2835
2002,Серединний пояс,м. Могилів-Подільський,0.2442,0.4092
2002,Серединний пояс,Лубенський район,0.2443,0.1940
2002,Серединний пояс,Новоград-Волинський район,0.2479,0.4413
2002,Серединний пояс,Черновецький район,0.2571,0.1763
2002,Серединний пояс,Іванківський район,0.2595,0.3734
2002,Серединний пояс,Коростишівський район,0.2621,0.3327
2002,Серединний пояс,Оржицький район,0.2652,0.2321
2002,Серединний пояс,Ставищенський район,0.2675,0.2843
2002,Серединний пояс,м. Миргород,0.2712,0.3289
2002,Серединний пояс,Великобагачанський район,0.2712,0.2156
2002,Серединний пояс,Світловодський район,0.2713,0.3844
2002,Серединний пояс,Олександрівський район,0.2729,0.3508
2002,Серединний пояс,м. Кіровоград,0.2747,0.3472
2002,Серединний пояс,м. Сміла,0.2800,0.3606
2002,Серединний пояс,Гадяцький район,0.2809,0.1374
2002,Серединний пояс,Житомирський район,0.2851,0.3686
2002,Серединний пояс,Ємільчинський район,0.2853,0.3733
2002,Серединний пояс,Сквирський район,0.2854,0.2671
2002,Серединний пояс,Володарський район,0.2862,0.3070
2002,Серединний пояс,Хорольський район,0.2862,0.2024
2002,Серединний пояс,м. Жмеринка,0.2889,0.4193
2002,Серединний пояс,м. Кременчук,0.2922,0.4019
2002,Серединний пояс,Миронівський район,0.2944,0.3677
2002,Серединний пояс,Новомиргородський район,0.3003,0.3008
2002,Серединний пояс,Кременчуцький район,0.3016,0.3242
2002,Серединний пояс,Лохвицький район,0.3025,0.1347
2002,Серединний пояс,Устинівський район,0.3056,0.3354
2002,Серединний пояс,Згурівський район,0.3074,0.2207
2002,Серединний пояс,Кобиляцький район,0.3092,0.2386
2002,Серединний пояс,Іллінецький район,0.3094,0.1582
2002,Серединний пояс,Тальнівський район,0.3140,0.2132
2002,Серединний пояс,м. Березань,0.3150,0.3497
2002,Серединний пояс,Машівський район,0.3153,0.3178
2002,Серединний пояс,Білоцерківський район,0.3154,0.2641
2002,Серединний пояс,Жашківський район,0.3158,0.1837
2002,Серединний пояс,Васильківський район,0.3179,0.3435
2002,Серединний пояс,Погребищенський район,0.3200,0.1970
2002,Серединний пояс,Карлівський район,0.3200,0.3772
2002,Серединний пояс,Канівський район,0.3210,0.1322
2002,Серединний пояс,Макарівський район,0.3217,0.2655
2002,Серединний пояс,Зіньківський район,0.3219,0.1961
2002,Серединний пояс,Новосанжарський район,0.3221,0.2880
2002,Серединний пояс,Кам'янський район,0.3268,0.1946
2002,Серединний пояс,Шишацький район,0.3270,0.2824
2002,Серединний пояс,Тростянецький район,0.3272,0.2424
2002,Серединний пояс,м. Житомир,0.3289,0.2953
2002,Серединний пояс,м. Васильків,0.3296,0.3093
2002,Серединний пояс,Маньківський район,0.3325,0.1813
2002,Серединний пояс,Шполянський район,0.3326,0.2346
2002,Серединний пояс,Пирятинський район,0.3345,0.1632
2002,Серединний пояс,Новоселицький район,0.3347,0.2535
2002,Серединний пояс,Теплицький район,0.3358,0.2265
2002,Серединний пояс,Смілянський район,0.3373,0.2863
2002,Серединний пояс,Бердичівський район,0.3387,0.3872
2002,Серединний пояс,Переяслав-Хмельницький район,0.3398,0.2014
2002,Серединний пояс,Томашпільський  район,0.3402,0.1810
2002,Серединний пояс,Фастівський район ,0.3419,0.2543
2002,Серединний пояс,м. Лубни,0.3457,0.3284
2002,Серединний пояс,Оратівський район,0.3465,0.1356
2002,Серединний пояс,Таращанський район,0.3505,0.1043
2002,Серединний пояс,Вишгородський район,0.3510,0.2441
2002,Серединний пояс,м. Фастів,0.3515,0.2987
2002,Серединний пояс,Чорнобаївський район,0.3522,0.1872
2002,Серединний пояс,Кагарлицький район,0.3525,0.3061
2002,Серединний пояс,Любарський район,0.3545,0.1943
2002,Серединний пояс,м. Ватутіне,0.3550,0.2543
2002,Серединний пояс,Котелевський район,0.3573,0.2769
2002,Серединний пояс,м. Світловодськ,0.3583,0.3572
2002,Серединний пояс,м. Полтава,0.3584,0.3302
2002,Серединний пояс,м. Ржищів,0.3585,0.2518
2002,Серединний пояс,м. Біла Церква,0.3592,0.2908
2002,Серединний пояс,м. Шепетівка,0.3599,0.3591
2002,Серединний пояс,Гайсинський район,0.3635,0.2104
2002,Серединний пояс,Жмеринський район,0.3653,0.2461
2002,Серединний пояс,Уманський район,0.3657,0.2542
2002,Серединний пояс,Баранівський район,0.3661,0.3203
2002,Серединний пояс,Волочиський район,0.3702,0.3622
2002,Серединний пояс,Шепетівський район,0.3707,0.2457
2002,Серединний пояс,Радомишльський район,0.3720,0.2957
2002,Серединний пояс,Піщанський район,0.3743,0.2128
2002,Серединний пояс,Герцаївський район,0.3762,0.2185
2002,Серединний пояс,Малинський район ,0.3768,0.3330
2002,Серединний пояс,м. Умань,0.3794,0.2995
2002,Серединний пояс,Бородянський район,0.3814,0.2805
2002,Серединний пояс,Катеринопільський район,0.3821,0.1558
2002,Серединний пояс,м. Київ (Солом'янський район),0.3834,0.2117
2002,Серединний пояс,Андрушівський район,0.3854,0.3012
2002,Серединний пояс,м. Новодністровськ,0.3865,0.2279
2002,Серединний пояс,Дзержинський район,0.3869,0.2820
2002,Серединний пояс,Золотоніський район,0.3872,0.2098
2002,Серединний пояс,Монастирищенський район,0.3876,0.2429
2002,Серединний пояс,Чигиринський район,0.3887,0.2049
2002,Серединний пояс,Ружинський район,0.3897,0.2255
2002,Серединний пояс,Бобринецький район,0.3921,0.2626
2002,Серединний пояс,м. Черкаси,0.3927,0.2776
2002,Серединний пояс,м. Славутич,0.3946,0.2600
2002,Серединний пояс,м. Славута,0.3951,0.3113
2002,Серединний пояс,Мурованокуриловецький район,0.3966,0.2594
2002,Серединний пояс,Решетилівський район,0.3966,0.1585
2002,Серединний пояс,Шаргородський район,0.3982,0.1410
2002,Серединний пояс,Броварський район,0.3984,0.2366
2002,Серединний пояс,м. Київ (Печерський район),0.4060,0.2263
